Distancia,Corriente,V_laton,V_hierro,V_cobre
13,1,1.9,2.7,1.6
13,1.4,2.7,4.1,2.3
13,1.8,3.7,5.2,2.9
13,2.2,4.4,6.5,3.5
13,2.6,5.3,7.7,4
13,3,6,8.9,4.7
13,3.4,6.7,9.9,5.3
13,3.8,7.5,10.9,5.8
13,4.2,8.4,12.5,6.6
13,4.6,9.2,13.4,7.1
13,5,9.9,14.7,7.7
26,1,1.5,3.8,1.3
26,1.4,2.2,5.8,2
26,1.8,2.8,6.9,2.5
26,2.2,3.5,8.5,3.1
26,2.6,4.1,10,3.6
26,3,4.7,11.4,4.2
26,3.4,5.3,13,4.7
26,3.8,5.8,14.2,5.1
26,4.2,6.7,16.6,5.9
26,4.6,7.2,17.4,6.4
26,5,7.8,19.1,6.9
40,1,2.3,4.9,1.6
40,1.4,3.3,6.3,2.2
40,1.8,3.9,8.2,2.9
40,2.2,4.9,10.4,3.5
40,2.6,5.8,12.3,4.2
40,3,6.6,14,4.8
40,3.4,7.5,15.6,5.5
40,3.8,8.3,17.3,6
40,4.2,9.2,19.3,6.6
40,4.6,9.5,20.6,7.1
40,5,10,22.7,7.9
